make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km,confidence,notes
Lexus,IS,2014,2020,2AR-FSE,petrol,0W-20,4.4,API SN ILSAC GF-5,,10000,HIGH,Same as Toyota 2AR family
Lexus,IS,2021,2024,A25A-FKS,petrol,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,Dynamic Force engine
Lexus,NX,2015,2021,2AR-FXE,hybrid,0W-20,4.4,API SN ILSAC GF-5,,10000,HIGH,Same filter as Toyota RAV4 hybrid
Lexus,NX,2015,2021,8AR-FTS,petrol,0W-20,4.5,API SN ILSAC GF-5,,10000,HIGH,2.0T turbo
Lexus,NX,2022,2024,A25A-FKS,petrol,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,
Lexus,NX,2022,2024,A25A-FXS,hybrid,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,
Lexus,RX,2016,2022,2GR-FKS,petrol,0W-20,5.7,API SN ILSAC GF-5,,10000,HIGH,3.5L V6
Lexus,RX,2016,2022,2GR-FXS,hybrid,0W-20,5.7,API SN ILSAC GF-5,,10000,HIGH,3.5L V6 hybrid
Lexus,RX,2023,2024,A25A-FXS,hybrid,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,New gen 2.5L hybrid
Lexus,RX,2023,2024,T24A-FTS,petrol,0W-20,5.2,API SP ILSAC GF-6,,10000,MEDIUM,2.4L turbo - capacity estimated
Lexus,ES,2019,2024,A25A-FKS,petrol,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,
Lexus,ES,2019,2024,A25A-FXS,hybrid,0W-20,4.8,API SP ILSAC GF-6,,10000,HIGH,
Lexus,UX,2019,2024,M20A-FKS,petrol,0W-20,4.6,API SP ILSAC GF-6,,10000,HIGH,Same as Toyota Corolla 2.0
Lexus,UX,2019,2024,M20A-FXS,hybrid,0W-20,4.6,API SP ILSAC GF-6,,10000,HIGH,
Land Rover,Range Rover Evoque,2012,2018,204PT,petrol,5W-30,5.5,ACEA A5/B5,STJLR.03.5003,16000,HIGH,Ingenium 2.0T petrol
