make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km
Toyota,Corolla,2008,2013,2ZR-FE,petrol,0W-20,4.2,API SN ILSAC GF-5,,10000
Toyota,Corolla,2008,2013,1ZR-FE,petrol,0W-20,4.2,API SN ILSAC GF-5,,10000
Toyota,Corolla,2014,2018,2ZR-FE,petrol,0W-20,4.2,API SN ILSAC GF-5,,10000
Toyota,Corolla,2014,2018,1ZR-FE,petrol,0W-20,4.2,API SN ILSAC GF-5,,10000
Toyota,Corolla,2019,2024,M20A-FKS,petrol,0W-20,4.6,API SP ILSAC GF-6,,10000
Toyota,Corolla,2019,2024,2ZR-FXE,hybrid,0W-20,4.2,API SP ILSAC GF-6,,10000
Toyota,Yaris,2010,2014,1NZ-FE,petrol,0W-20,3.4,API SN ILSAC GF-5,,10000
Toyota,Yaris,2015,2020,1NR-FE,petrol,0W-20,3.4,API SN ILSAC GF-5,,10000
Toyota,Yaris,2021,2024,M15A-FKS,petrol,0W-20,3.6,API SP ILSAC GF-6,,10000
Toyota,Yaris,2021,2024,M15A-FXE,hybrid,0W-20,3.6,API SP ILSAC GF-6,,10000
Toyota,RAV4,2013,2018,3ZR-FAE,petrol,0W-20,4.4,API SN ILSAC GF-5,,10000
Toyota,RAV4,2013,2018,2AR-FE,petrol,0W-20,4.4,API SN ILSAC GF-5,,10000
Toyota,RAV4,2019,2024,A25A-FKS,petrol,0W-20,4.8,API SP ILSAC GF-6,,10000
Toyota,RAV4,2019,2024,A25A-FXS,hybrid,0W-20,4.8,API SP ILSAC GF-6,,10000
Toyota,Camry,2012,2017,2AR-FE,petrol,0W-20,4.4,API SN ILSAC GF-5,,10000
Toyota,Camry,2018,2024,A25A-FKS,petrol,0W-20,4.8,API SP ILSAC GF-6,,10000
Toyota,Camry,2018,2024,A25A-FXS,hybrid,0W-20,4.8,API SP ILSAC GF-6,,10000
Toyota,C-HR,2017,2024,2ZR-FXE,hybrid,0W-20,4.2,API SN ILSAC GF-5,,10000
Toyota,C-HR,2017,2024,M20A-FKS,petrol,0W-20,4.6,API SP ILSAC GF-6,,10000
Toyota,Land Cruiser,2010,2021,1GR-FE,petrol,5W-30,5.5,API SN,,10000
Toyota,Land Cruiser,2022,2024,V35A-FTS,petrol,0W-20,8.0,API SP ILSAC GF-6,,10000
Toyota,Hilux,2015,2024,2GD-FTV,diesel,0W-30,7.5,ACEA C2,,10000
Toyota,Hilux,2015,2024,1GD-FTV,diesel,0W-30,7.5,ACEA C2,,10000
Toyota,Fortuner,2016,2024,2GD-FTV,diesel,0W-30,7.5,ACEA C2,,10000
Toyota,Fortuner,2016,2024,1GD-FTV,diesel,0W-30,7.5,ACEA C2,,10000
Toyota,Corolla Cross,2022,2024,2ZR-FXE,hybrid,0W-20,4.2,API SP ILSAC GF-6,,15000
Toyota,Corolla Cross,2022,2024,M20A-FKS,petrol,0W-20,4.6,API SP ILSAC GF-6,,15000
Hyundai,i20,2012,2014,G4FA,petrol,5W-30,3.3,ACEA A5,,15000
Hyundai,i20,2015,2020,G4LC,petrol,0W-20,3.6,ACEA C2,,15000
Hyundai,i20,2021,2024,G4LC,petrol,0W-20,3.6,API SN Plus,,15000
Hyundai,i30,2012,2016,G4FD,petrol,5W-30,3.6,ACEA A5,,15000
Hyundai,i30,2017,2020,G4FJ,petrol,5W-30,4.0,ACEA A5,,15000
Hyundai,i30,2017,2020,G4LD,petrol,5W-30,4.2,ACEA C2,,15000
Hyundai,i30,2021,2024,G4FP,petrol,5W-30,4.0,ACEA C2,,15000
Hyundai,Tucson,2010,2015,G4FD,petrol,5W-30,3.6,ACEA A5,,15000
Hyundai,Tucson,2010,2015,D4FD,diesel,5W-30,5.3,ACEA C3,,20000
Hyundai,Tucson,2016,2020,G4FJ,petrol,5W-30,4.0,ACEA A5,,15000
Hyundai,Tucson,2016,2020,D4FE,diesel,5W-30,5.3,ACEA C3,,20000
