make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km
Toyota,Corolla,2014,2018,1ZR-FE,petrol,0W-20,3.4,"API SN, ILSAC GF-5",,15000
Toyota,Corolla,2014,2018,2ZR-FE,petrol,0W-20,4.2,"API SN, ILSAC GF-5",,15000
Toyota,Corolla,2019,2024,2ZR-FE,petrol,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2019,2024,M20A-FKS,petrol,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2019,2024,2ZR-FXE,hybrid,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Kia,Sportage,2011,2015,G4FD,petrol,5W-30,4.2,"API SM/SN, ACEA A5",,15000
Kia,Sportage,2011,2015,D4FD,diesel,5W-30,6.2,ACEA C3,,10000
Kia,Sportage,2016,2021,G4FJ,petrol,5W-30,4.2,"API SN, ACEA A5",,15000
Kia,Sportage,2022,2025,G4FP,petrol,5W-30,4.5,"API SP, ACEA A5/B5",,15000
Hyundai,Tucson,2016,2020,G4FD,petrol,5W-30,4.2,"API SN, ACEA A5",,15000
Hyundai,Tucson,2016,2020,D4HA,diesel,5W-30,6.1,ACEA C3,,10000
Hyundai,Tucson,2021,2025,G4FP,petrol,5W-30,4.5,"API SP, ACEA A5/B5",,15000
