make,model,year_from,year_to,engine_code,fuel_type,oil_filter_oem,oil_filter_mann,oil_filter_filtron,air_filter_oem,air_filter_mann,air_filter_filtron,cabin_filter_oem,cabin_filter_mann,cabin_filter_filtron,confidence,notes
Daihatsu,Sirion,1998,2005,EJ-VE,petrol,15601-87107,W 68/3,OP 564,17801-97201,C 1922,AP 143/2,,,,,HIGH,Gen1 - no cabin filter from factory on most variants
Daihatsu,Sirion,2005,2013,1KR-FE,petrol,04152-B1010,W 68/3,OP 564,17801-97201,C 1922,AP 143/2,88568-B1010,CU 1828,K 1183,,HIGH,Same Toyota 1KR-FE as Yaris - cartridge oil filter variant also exists
Daihatsu,Sirion,2005,2013,K3-VE,petrol,15601-B2030,W 68/3,OP 564,17801-87402,C 2236,AP 152/2,88568-B1010,CU 1828,K 1183,,HIGH,1.3L spin-on oil filter
Daihatsu,Sirion,2007,2013,3SZ-VE,petrol,15601-B2030,W 68/3,OP 564,17801-B1010,C 2620,AP 018/6,88568-B1010,CU 1828,K 1183,,HIGH,1.5L - same oil filter as K3-VE; different air filter
Daihatsu,Terios,1997,2005,HC-EJ,petrol,15601-87703,W 68/3,OP 564,17801-87402,C 2236,AP 152/2,,,,,HIGH,Gen1 J100 - no cabin filter standard
Daihatsu,Terios,2006,2017,K3-VE,petrol,15601-B2030,W 68/3,OP 564,17801-87402,C 2236,AP 152/2,88568-B4010,CU 1828,K 1183,,HIGH,Gen2 J200 1.3L
Daihatsu,Terios,2006,2017,3SZ-VE,petrol,15601-B2030,W 68/3,OP 564,17801-B1010,C 2620,AP 018/6,88568-B4010,CU 1828,K 1183,,HIGH,Gen2 J200 1.5L
Daihatsu,Materia,2006,2012,K3-VE,petrol,15601-B2030,W 68/3,OP 564,17801-B1010,C 2620,AP 018/6,88568-B1010,CU 1828,K 1183,,HIGH,M400 1.3L - same air box as 1.5L
Daihatsu,Materia,2006,2012,3SZ-VE,petrol,15601-B2030,W 68/3,OP 564,17801-B1010,C 2620,AP 018/6,88568-B1010,CU 1828,K 1183,,HIGH,M400 1.5L
Smart,ForTwo,2007,2014,3B21,petrol,A1321800110,W 712/83,OP 616/2,A1320900001,C 1036/1,AK 218/1,A4518350047,CU 2545,K 1232,,HIGH,451 model 1.0L Mitsubishi 3-cyl - spin-on oil filter
Smart,ForTwo,2007,2014,OM660,diesel,A6601800009,HU 710 x,OE 649/1,A6600940004,C 1036/1,AK 218/1,A4518350047,CU 2545,K 1232,,MEDIUM,451 model 0.8L CDI - cartridge oil filter
Smart,ForTwo,2014,2019,M281,petrol,A2811800210,W 75/4,OP 616/3,A4530940000,C 1618,AP 135/5,A4538350100,CU 22 028,K 1321A,,HIGH,453 model 1.0L Renault engine - spin-on oil filter
Smart,ForTwo,2014,2019,H4B,petrol,A2811800210,W 75/4,OP 616/3,A4530940000,C 1618,AP 135/5,A4538350100,CU 22 028,K 1321A,,HIGH,453 model 0.9T Renault engine - same filters as 1.0
