make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km
Toyota,Corolla,2018,2025,1.2T Petrol,petrol,0W-20,4.2,API SP,,15000
Toyota,Corolla,2018,2025,1.6 Petrol,petrol,0W-20,3.9,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2018,2025,1.8 Petrol,petrol,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2018,2025,1.8 Hybrid,hybrid,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2018,2025,2.0 Petrol,petrol,0W-20,4.6,"API SP, ILSAC GF-6A",,15000
Toyota,Corolla,2018,2025,2.0 Hybrid,hybrid,0W-20,4.6,"API SP, ILSAC GF-6A",,15000
Toyota,Camry,2018,2025,2.5 Petrol,petrol,0W-20,4.8,"API SP, ILSAC GF-6A",,15000
Toyota,Camry,2018,2025,2.5 Hybrid,hybrid,0W-20,4.8,"API SP, ILSAC GF-6A",,15000
Toyota,Camry,2018,2025,3.5 V6,petrol,0W-20,6.1,"API SP, ILSAC GF-6A",,15000
Toyota,Yaris,2018,2025,1.0 Petrol,petrol,0W-20,3.4,"API SP, ILSAC GF-6A",,15000
Toyota,Yaris,2018,2025,1.3 Petrol,petrol,0W-20,3.4,"API SP, ILSAC GF-6A",,15000
Toyota,Yaris,2018,2025,1.5 Petrol,petrol,0W-20,3.6,"API SP, ILSAC GF-6A",,15000
Toyota,Yaris,2018,2025,1.5 Hybrid,hybrid,0W-20,3.6,"API SP, ILSAC GF-6A",,15000
Toyota,RAV4,2018,2025,2.0 Petrol,petrol,0W-20,4.4,"API SP, ILSAC GF-6A",,15000
Toyota,RAV4,2018,2025,2.5 Petrol,petrol,0W-20,4.8,"API SP, ILSAC GF-6A",,15000
Toyota,RAV4,2018,2025,2.5 Hybrid,hybrid,0W-20,4.8,"API SP, ILSAC GF-6A",,15000
Toyota,RAV4,2018,2025,2.5 PHEV,phev,0W-20,4.8,"API SP, ILSAC GF-6A",,15000
Toyota,Land Cruiser,2018,2025,2.8 Diesel,diesel,5W-30,7.7,"API CK-4, ACEA C3",,10000
Toyota,Land Cruiser,2018,2025,3.5 V6 Petrol,petrol,0W-20,6.4,API SP,,15000
Toyota,Land Cruiser,2018,2025,4.0 V6 Petrol,petrol,5W-30,5.7,API SN,,15000
Toyota,C-HR,2018,2025,1.2T Petrol,petrol,0W-20,4.2,API SP,,15000
Toyota,C-HR,2018,2025,1.8 Hybrid,hybrid,0W-20,4.2,"API SP, ILSAC GF-6A",,15000
Toyota,C-HR,2018,2025,2.0 Hybrid,hybrid,0W-20,4.6,"API SP, ILSAC GF-6A",,15000
Toyota,Hilux,2018,2025,2.4 Diesel,diesel,5W-30,6.5,"API CK-4, ACEA C3",,10000
Toyota,Hilux,2018,2025,2.8 Diesel,diesel,5W-30,7.7,"API CK-4, ACEA C3",,10000
Toyota,Hilux,2018,2025,2.7 Petrol,petrol,5W-30,5.0,API SP,,15000
Toyota,Hilux,2018,2025,4.0 V6 Petrol,petrol,5W-30,5.7,API SN,,15000
Hyundai,Tucson,2018,2025,1.6T Petrol,petrol,5W-30,4.5,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
Hyundai,Tucson,2018,2025,1.6T Hybrid,hybrid,5W-30,4.5,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
Hyundai,Tucson,2018,2025,2.0 Petrol,petrol,5W-30,4.2,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
Hyundai,Tucson,2018,2025,2.0 Diesel,diesel,5W-30,5.3,ACEA C3,Hyundai/Kia DPF Oil,15000
Hyundai,i20,2018,2025,1.0T Petrol,petrol,5W-30,3.5,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
Hyundai,i20,2018,2025,1.2 Petrol,petrol,5W-30,3.5,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
Hyundai,i20,2018,2025,1.4 Petrol,petrol,5W-30,3.6,"API SP, ACEA A5/B5",Hyundai/Kia Oil Standard,15000
