make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km,notes
BMW,2 Series,2014,2021,N20B20,petrol,5W-30,5.0,ACEA A3/B3,BMW LL-01,15000,Same as 1 Series
BMW,2 Series,2014,2021,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,2 Series Gran Coupe,2020,2024,B38B15,petrol,0W-20,4.25,ACEA C5,BMW LL-17 FE+,15000,Same as 1 Series F40
BMW,2 Series Gran Coupe,2020,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,
BMW,4 Series,2013,2020,N20B20,petrol,5W-30,5.0,ACEA A3/B3,BMW LL-01,15000,Same as 3 Series
BMW,4 Series,2021,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,
BMW,4 Series,2021,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,5 Series,2010,2016,N20B20,petrol,5W-30,5.0,ACEA A3/B3,BMW LL-01,15000,F10
BMW,5 Series,2010,2016,N47D20,diesel,5W-30,5.2,ACEA C3,BMW LL-04,15000,
BMW,5 Series,2017,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,G30/G60
BMW,5 Series,2017,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,5 Series,2017,2024,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,540i 3.0L
BMW,6 Series GT,2017,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,Same as 5 Series
BMW,6 Series GT,2017,2024,B47D20,diesel,5W-30,5.0,ACEA C3,BMW LL-04,15000,
BMW,7 Series,2015,2022,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,G11 730i
BMW,7 Series,2015,2022,B57D30,diesel,5W-30,6.5,ACEA C3,BMW LL-04,15000,G11 730d/740d
BMW,7 Series,2015,2022,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,G11 740i
BMW,7 Series,2023,2024,B48B20,petrol,0W-20,5.25,ACEA C5,BMW LL-17 FE+,15000,G70
BMW,7 Series,2023,2024,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,G70
BMW,8 Series,2018,2024,B58B30,petrol,0W-20,6.5,ACEA C5,BMW LL-17 FE+,15000,
BMW,X2,2018,2024,B38B15,petrol,0W-20,4.25,ACEA C5,BMW LL-17 FE+,15000,Same as X1
