make,model,year_from,year_to,platform,low_beam,high_beam,front_fog,front_turn,rear_turn,tail_brake,reverse,license_plate,notes
Toyota,Corolla,2013,2018,E180,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,Halogen headlights standard
Toyota,Corolla,2019,2025,E210,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,Halogen standard; LED optional on higher trims
Toyota,Yaris,2011,2020,XP130/XP150,H4,—,H16,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam halogen; no separate high beam
Toyota,Yaris,2020,2025,XP210,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,TNGA-B; LED headlights on some trims
Toyota,C-HR,2016,2025,AX10/AX50,LED,LED,H16,WY21W,WY21W,W21/5W,W16W,W5W,LED headlights standard all trims
Toyota,RAV4,2019,2025,XA50,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,Halogen standard; LED on Adventure/Limited
Toyota,Camry,2018,2025,XV70,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,Halogen base; LED on higher trims
Toyota,Land Cruiser,2021,2025,J300,LED,LED,LED,WY21W,WY21W,W21/5W,W16W,W5W,Full LED standard
Hyundai,i30,2017,2025,PD/CN7,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen H7 projector standard; LED on premium trims
Hyundai,i20,2020,2025,BC3,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Hyundai,i20,2014,2020,GB,H4,—,H8,PY21W,PY21W,P21/5W,W16W,W5W,H4 dual-beam
Hyundai,Tucson,2015,2020,TL,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard; HID/LED on higher trims
Hyundai,Tucson,2021,2025,NX4,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard all trims
Hyundai,Kona,2017,2025,OS,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard; LED on higher trims
Hyundai,Creta,2020,2025,SU2i,H4,—,H8,PY21W,PY21W,P21/5W,W16W,W5W,H4 dual-beam standard
Kia,Sportage,2016,2021,QL,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Kia,Sportage,2022,2025,NQ5,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Kia,Picanto,2017,2025,JA,H4,—,H8,PY21W,PY21W,P21/5W,P21W,W5W,H4 dual-beam; no front fog on base
Kia,Niro,2016,2022,DE,H7,HB3,H8,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard; LED optional
Kia,Niro,2022,2025,SG2,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED all trims
Volkswagen,Golf,2013,2020,Mk7/7.5,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,H7 halogen; xenon/LED on higher trims
Volkswagen,Golf,2020,2025,Mk8,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard all trims
Volkswagen,Polo,2017,2025,AW,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,H7 halogen standard; LED optional
Volkswagen,Tiguan,2016,2025,AD/BW,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED on R-Line/higher
Volkswagen,T-Cross,2019,2025,C11,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,H7 halogen standard
Skoda,Octavia,2013,2020,5E Mk3,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Same as Golf 7 MQB bulbs
Skoda,Octavia,2020,2025,NX Mk4,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Skoda,Fabia,2014,2025,NJ/PJ,H4,—,H8,PY21W,PY21W,P21W,W16W,W5W,H4 dual-beam base; LED headlights on higher PJ trims
Skoda,Karoq,2017,2025,NU,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,MQB halogen standard
Mazda,Mazda 3,2013,2019,BM/BN,H11,HB3,H11,WY21W,WY21W,W21/5W,W16W,W5W,Halogen standard
Mazda,Mazda 3,2019,2025,BP,LED,LED,H11,WY21W,WY21W,W21/5W,W16W,W5W,LED headlights standard
Mazda,CX-5,2017,2025,KF,LED,LED,H11,WY21W,WY21W,W21/5W,W16W,W5W,LED headlights standard all trims
Mazda,Mazda 2,2015,2025,DJ,H4,—,H11,WY21W,WY21W,W21/5W,W16W,W5W,H4 dual-beam
Mazda,CX-30,2019,2025,DM,LED,LED,H11,WY21W,WY21W,W21/5W,W16W,W5W,LED standard
Peugeot,208,2012,2019,A9,H7,H7,H11,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Peugeot,208,2019,2025,P21,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED headlights standard; turn signals still bulb
Peugeot,2008,2019,2025,P24,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED standard
Peugeot,308,2013,2021,T9,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED on GT Line
Peugeot,3008,2016,2025,P84,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,Full LED standard
Citroen,C3,2016,2025,C3 III,H7,H7,H11,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Citroen,C4,2020,2025,C4 III,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED standard
Citroen,C5 Aircross,2018,2025,C84,LED,LED,LED,PY21W,PY21W,LED,W16W,W5W,LED standard
Renault,Clio,2019,2025,V BJA,H7,H7,H16,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard; LED on RS Line
Renault,Captur,2019,2025,II HJA,H7,H7,H16,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard
Renault,Megane,2016,2023,IV BFB,H7,H7,H16,PY21W,PY21W,P21/5W,W16W,W5W,Halogen standard; LED on GT
Nissan,Qashqai,2014,2021,J11,H7,H7,H8,PY21W,PY21W,P21W,W16W,W5W,Halogen standard
Nissan,Qashqai,2021,2025,J12,LED,LED,LED,PY21W,LED,LED,W16W,W5W,LED standard
Nissan,Juke,2019,2025,F16,LED,LED,H8,PY21W,PY21W,P21W,W16W,W5W,LED headlights; halogen fog
Honda,Civic,2016,2021,FC/FK,H11,HB3,H11,WY21W,WY21W,W21/5W,W16W,W5W,10th gen halogen standard
Honda,Civic,2022,2025,FL/FE,LED,LED,LED,WY21W,WY21W,LED,W16W,W5W,11th gen full LED
Honda,CR-V,2017,2025,RW,H11,HB3,H11,WY21W,WY21W,W21/5W,W16W,W5W,Halogen standard; LED on Touring
Subaru,Impreza,2017,2025,GT/GK,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,SGP halogen standard
Subaru,XV/Crosstrek,2017,2025,GT,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,SGP — same bulbs as Impreza
Subaru,Forester,2018,2025,SK,H11,HB3,H16,WY21W,WY21W,W21/5W,W16W,W5W,SGP
BMW,3 Series,2012,2019,F30/F31,H7,H7,H8,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; xenon/LED optional
BMW,3 Series,2019,2025,G20/G21,LED,LED,LED,PY21W,LED,LED,W16W,W5W,LED standard all trims
BMW,X1,2015,2022,F48,H7,H7,H8,PY21W,PY21W,P21W,W16W,W5W,Halogen base; LED optional
BMW,X1,2022,2025,U11,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
BMW,1 Series,2019,2025,F40,LED,LED,LED,PY21W,LED,LED,W16W,W5W,LED standard
Mercedes-Benz,C-Class,2014,2021,W205,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED/multibeam optional
Mercedes-Benz,C-Class,2021,2025,W206,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED/Digital Light standard
Mercedes-Benz,A-Class,2018,2025,W177,LED,LED,LED,PY21W,LED,LED,W16W,W5W,LED standard
Mercedes-Benz,GLC,2015,2022,X253,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED optional
Mercedes-Benz,GLC,2022,2025,X254,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Seat,Leon,2013,2020,5F,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Same as Golf 7
Seat,Leon,2020,2025,KL,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED standard
Seat,Ibiza,2017,2025,6F,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Same as Polo AW
Seat,Arona,2017,2025,KJ,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Same as Ibiza 6F
Audi,A3,2013,2020,8V,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; xenon/LED optional
Audi,A3,2020,2025,8Y,LED,LED,LED,LED,LED,LED,W16W,W5W,Full LED/Matrix LED standard
Audi,Q3,2018,2025,F3,LED,LED,LED,PY21W,LED,LED,W16W,W5W,LED standard
Fiat,500X,2014,2025,334,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard
Fiat,Tipo,2015,2025,356,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen
Fiat,Panda,2012,2025,319,H4,—,H11,PY21W,PY21W,P21/5W,W16W,W5W,H4 dual-beam
Ford,Focus,2018,2025,Mk4,H7,H7,H11,PY21W,PY21W,P21W,W16W,W5W,Halogen standard; LED on Vignale/ST
Ford,Puma,2019,2025,B7,LED,LED,H11,PY21W,PY21W,P21W,W16W,W5W,LED headlights standard
Opel,Corsa,2019,2025,F,LED,LED,LED,PY21W,PY21W,P21/5W,W16W,W5W,LED standard on most trims
